Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@615761915 (AirWatch Browser v3.0.0.60)
Mozilla/5.0 (X11; Bitrig amd64; rv:28.0) Gecko/20100101 Firefox/28.0
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@423069601 (AirWatch Browser v3.1.1.5)
mozilla/5.0 (x11; netbsd amd64; rv:60.0) gecko/20100101 firefox/60.0
Mozilla/5.0 (X11; Honor x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36
Mozilla/5.0 (X11; NetBSD amd64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0 Safari/605.1.15 Midori/6
Mozilla/5.0 (X11; CrOs x86_64 11895.95.0) AppleWebKit/537.36 /KHTML, like Gscko) Chrome/74.0.3729.157 Safari/537.36
Mozilla/5.0 (X11; DragonFly x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
Mozilla/5.0 (X11; NetBSD i386; rv:67.0) Gecko/20100101 Firefox/67.0
Mozilla/5.0 (X11; NetBSD amd64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Safari/605.1.15 Midori/6
Mozilla/5.0 (X11; NetBSD amd64; rv:65.0) Gecko/20100101 Firefox/65.0
Mozilla/5.0 (X11; DragonFly x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.0.1 Chrome/56.0.2924.122 Safari/537.36
Mozilla/5.0 (X11; NetBSD amd64; rv:47.0) Gecko/20100723 Firefox/47.0
Mozilla/5.0 (X11; U; DragonFly i386; de; rv:1.9.1b2) Gecko/20081201 Firefox/3.1b2
Mozilla/5.0 (X11; NetBSD amd64;) AppleWebKit/533.36 (KHTML, like Gecko) Chrome/49.0.2785.143 Safari/533.36
Mozilla/5.0 (X11; NetBSD amd64; rv:45.0) Gecko/20100723 Firefox/45.0
Mozilla/5.0 (X11; U; NetBSD amd64) AppleWebKit/533.3 (KHTML, like Gecko) Qupzilla/1.1.5
Mozilla/5.0 (X11; NetBSD amd64) AppleWebKit/538.15 (KHTML, like Gecko) Version/8.0 Safari/538.15 Epiphany/2.30.6
Mozilla/5.0 (X11; NetBSD amd64; rv:52.0) Gecko/20100101 Firefox/52.0
Mozilla/5.0 (X11; NetBSD amd64; rv:62.0) Gecko/20100101 Firefox/62.0
Mozilla/5.0 (X11; NetBSD amd64; rv:52.0) Gecko/20100101 Firefox/52.0 SeaMonkey/2.49.3
Mozilla/5.0 (X11; NetBSD i686; rv:52.0) Gecko/20100101 Firefox/52.0
Mozilla/5.0 (X11; NetBSD i686; rv:53.0) Gecko/20100101 Firefox/53.0
Mozilla/5.0 (X11; NetBSD i686; rv:58.0) Gecko/20100101 Firefox/58.0
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36 (AirWatch Browser v6.11.0.27)
Mozilla/5.0 (X11; DragonFly x86_64; rv:52.0) Gecko/20100101 Firefox/52.0
Mozilla/5.0 (X11; NetBSD i686; rv:56.1b) Gecko/20100101 Firefox/56.1b
Mozilla/5.0 (X11; DragonFly x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.116 Safari/537.36
Mozilla/5.0 (X11; NetBSD i686; en-MT) AppleWebKit/537.16.16 (KHTML, like Gecko) Version/7.0.2 Safari/537.16.16
Mozilla/5.0 (X11; NetBSD amd64; rv:54.0.1) Gecko/20100101 Firefox/54.0.1
Mozilla/5.0 (X11; NetBSD i686; en-US) AppleWebKit/536.11.21 (KHTML, like Gecko) Version/6.0 Safari/536.11.21
Mozilla/5.0 (X11; NetBSD amd64; rv:18.0) Gecko/20130120 Firefox/18.0
Mozilla/5.0 (X11; ? i686; rv:53.0) Gecko/20100101 Firefox/53.0
Mozilla/5.0 (X11; GhostBSD/10.3; x86_64; rv:50.0.1) Gecko/20100101 Firefox/50.0.1
Mozilla/5.0 (X11; NetBSD i686; rv:47.0) Gecko/20100101 Firefox/47.0
Mozilla/5.0 (X11; BSD x86_64; rv:45.0) Gecko/20140429 Firefox/45.0
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36 (AirWatch Browser v5.10.0.26)
Mozilla/5.0 (X11; NetBSD amd64; en-PH) AppleWebKit/528.16 (KHTML, like Gecko) Version/6.0.2 Safari/528.16
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@292553660 (AirWatch Browser v3.1.1.5)
Mozilla/5.0 (X11; NetBSD amd64; rv:47.0) Gecko/20100101 Firefox/47.0
Mozilla/5.0 (X11; U; NetBSD i386; en-US; rv:1.8) Gecko/20060104 Firefox/1.5
Mozilla/5.0 (X11; NetBSD amd64; rv:46.0) Gecko/20100101 Firefox/46.0
Mozilla/5.0 (X11; U; JOOS sun4u; en-US; rv:1.8) Gecko/20051130 Firefox/1.5
Mozilla/5.0 (X11; Unix x86_64; rv:39.0) Gecko/20100101 Firefox/39.0
Mozilla/5.0 (X11; DragonFly x86_64; rv:38.0) Gecko/20100101 Firefox/38.0
Mozilla/5.0 (X11; U; NetBSD amd64) Gecko/20150331 Firefox/37.0
Mozilla/5.0 (X11; NetBSD amd64; en-GB) AppleWebKit/522.14 (KHTML, like Gecko) Version/5.0.4 Safari/522.14
Mozilla/5.0 (X11; GNU i686-AT386; rv:31.0) Gecko/20100101 Firefox/31.0 Iceweasel/31.2.0
Firefox/23.0 (X11; amd64; rv:23.0) Gecko/20100101
Mozilla/5.0 (X11; DragonFly x86_64; rv:19.0) Gecko/20130902 Firefox/19.0
Mozilla/5.0 (X11; U; SCO_SV i386; en-US; rv:1.2.1) Gecko/20021214
Mozilla/5.0 (X11; DragonFly x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
Mozilla/5.0 (X11; NetBSD amd64; rv:38.0) Gecko/20100101 Firefox/38.0
Mozilla/5.0 (X11; Unix x86_64; rv:41.0) Gecko/20100101 Firefox/41.0
Ke9PoF0rqRO 9u74LLdmWsP d49uElozZ8Jr9FZ j7oV78icfRJ9b (Opera, like Opera) Gecko/5.0 Opera/80.0.3987.132 8Vi4T8LsPb Konqueror/537.36 (X11 NT 10.0; Win64; x64) YbT7Z9Zq7
Mozilla/5.0 (X11; i386; rv:68.0) Gecko/20190101 Firefox/68.0
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/75.0.3738.0 Safari/537.36 CloudWatchSynthetics/arn:aws:synthetics:eu-central-1:437244285145:canary:heise
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@41345290 (AirWatch Browser v3.0.0.60)
Mozilla/5.0 (X11; NetBSD i686; rv:53.1) Gecko/20100101 Firefox/53.1
Mozilla/5.0 (X11; U; x86_64; en_us; rv:52.0) Gecko/20100101 Firefox/52.0
Mozilla/5.0 (X11; Unknown x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1495.0 Maxthon/0.9.1.0 beta Safari/537.36
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@360060771 (AirWatch Browser v3.1.0.50)
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@18363577 (AirWatch Browser v2.8.0.2599)
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36@-@518086203 (AirWatch Browser v3.1.0.50)
Mozilla/5.0 (X11; Unix amd64; rv:73.0) Gecko/20100101 Firefox/73.0
Mozilla/5.0 (X11; NetBSD i386; rv:17.0) Gecko/20130217 Firefox/17.0
Mozilla/5.0 (X11; i386; rv:45.0) Gecko/20100101 Firefox/45.0
Master Of Icons/5.0 (X11; Limeta x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/74.0.3729.185 Safari/537.36 (AirWatch Browser vdevelopment Web is awesome)
Mozilla/5.0 (X11; NetBSD amd64;) AppleWebKit/533.36 (KHTML, like Gecko) Chrome/49.0.2785.143 Safari/533.36'
Mozilla/5.0 (X11; Unix amd64; rv:31.0) Gecko/20100101 Firefox/72.0
Mozilla/5.0 (X11; Unix amd64; rv:31.0) Gecko/20100101 Firefox/31.0
Mozilla/5.0 (X11; Li/nux i686; rv:72.0) Gecko/20100101 Firefox 72
Mozilla/5.0 (X11; None x86_64; rv:68.0) Gecko/20100101 None/0.0
Mozilla/5.0 (X11; Arch x86_64 10066.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 YaBrowser/20.2.4.012 Yowser/2.5 Safari/537.36
Mozilla/5.0 (X11; Arch x86_64 10066.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.117 Safari/537.36
Mozilla/5.0 (X11; NetBSD amd64;) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2840.71 Safari/537.36'
Mozilla/5.0 (X11; NetBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.11 Safari/537.36
Mozilla/5.0 (X11; NetBSD amd64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
Mozilla/5.0 (X11; NetBSD amd64; rv:45.0) Gecko/20100723 Firefox/45.0'
21/5.0.2; 240dpi; 1920x1152; Tartus; RN2; RN2; trident; en_US
Mozilla/5.0 (X11; NetBSD i386; rv:69.0) Gecko/20100101 Firefox/69.0
Mozilla/5.0 (X11; PerryOS x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36
Mozilla/5.0 (X11; NetBSD i386; rv:36.0) Gecko/20100101 Firefox/36.0
Mozilla/5.0 (X11; NetBSD amd64; rv:64.0) Gecko/20100101 Firefox/64.0
Mozilla/5.0 (X11; NetBSD i686; rv:63.0) Gecko/20100101 Firefox/63.0
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36 (AirWatch Browser v7.4.17)
Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36 (AirWatch Browser v6.16.24)
